502;3CNERGY LIMITED               
1E0W;3CNERGY LIMITED W200528       
5TG;800 SUPER HOLDINGS LIMITED    
AZG;8TELECOM INTL HOLDINGS CO LTD 
BQC;A-SMART HOLDINGS LTD.         
BTJ;A-SONIC AEROSPACE LIMITED     
5GZ;AA GROUP HOLDINGS LTD.        
A35;ABF SPORE BOND INDEX FUND ETF 
533;ABR HOLDINGS LIMITED          
L5I;ABTERRA LTD                   
541;ABUNDANCE INTERNATIONAL LTD   
1C4W;ABUNDANCE INTERNATIONALW210130
ADQU;ACCORDIA GOLF TRUST           
5RJ;ACCRELIST LTD.                
A75;ACE ACHIEVE INFOCOM LIMITED   
5FW;ACESIAN PARTNERS LIMITED      
AYV;ACMA LTD.                     
43F;ACROMEC LIMITED               
A31;ADDVALUE TECHNOLOGIES LTD     
5FH;ADVANCE SCT LIMITED           
BLZ;ADVANCED HOLDINGS LTD.        
5TY;ADVANCED SYSTEMS AUTOMATION   
1E2R;ADVANCED SYSTEMS AUTOMATION R 
43Q;ADVANCER GLOBAL LIMITED       
5EF;ADVENTUS HOLDINGS LIMITED     
AWG;AEI CORPORATION LTD           
AWX;AEM HOLDINGS LTD              
L38;AF GLOBAL LIMITED             
1A4;AGV GROUP LIMITED             
O5RU;AIMS AMP CAP INDUSTRIAL REIT  
BVP;AIMS PROPERTY SECURITIES FUND 
S91;ALIBABA PICTURES GROUP LIMITED
40F;ALLIANCE MINERAL ASSETSLIMITED
A13;ALLIED TECHNOLOGIES LIMITED   
5TS;ALPHA ENERGY HOLDINGS LIMITED 
K3HD;ALUMINUM CORP OF CHINA ADR 10 
A34;AMARA HOLDINGS LTD            
AOF;AMPLEFIELD LIMITED            
43E;ANCHOR RESOURCES LIMITED      
BTX;ANCHUN INTERNATIONAL HLDGS LTD
A52;ANNAIK LIMITED                
5AL;ANNICA HOLDINGS LIMITED       
G5X;ANWELL TECHNOLOGIES LIMITED   
1D4;AOXIN Q & M DENTAL GRP LIMITED
5AU;AP OIL INTERNATIONAL LIMITED  
5VU;ARION ENTERTAINMENT SING LTD  
41RW;ARION ENTERTAINMENTSIN W200505
5NK;ARTIVISION TECHNOLOGIES LTD.  
Q1P;ASCENDAS HOSPITALITY TRUST    
CY6U;ASCENDAS INDIA TRUST          
A17U;ASCENDAS REAL ESTATE INV TRUST
A68U;ASCOTT RESIDENCE TRUST        
A55;ASIA ENTERPRISES HOLDING LTD  
BQI;ASIA FASHION HOLDINGS LIMITED 
5RA;ASIA-PACIFIC STRATEGIC INV LTD
5VZW;ASIA-PACIFIC STRATEGIC W180716
5I2W;ASIA-PACIFIC STRATEGIC W190506
42QW;ASIA-PACIFIC STRATEGIC W201119
505;ASIAMEDIC LIMITED             
585;ASIAN MICRO HOLDINGS LTD      
S7OU;ASIAN PAY TELEVISION TRUST    
5WV;ASIAPHOS LIMITED              
1C9W;ASIAPHOS LIMITED W200323      
5CR;ASIATIC GROUP (HOLDINGS) LTD  
5AM;ASIATRAVEL.COM HOLDINGS LTD   
A04;ASL MARINE HOLDINGS LTD       
A30;ASPIAL CORPORATION LIMITED    
BEYZ;ASPIAL TREA S$150M5.25%B200828
BRQZ;ASPIAL TREA S$200M5.3%B200401 
42S;ASTAKA HOLDINGS LIMITED       
575;ASTI HOLDINGS LIMITED         
5UL;ATLANTIC NAVIGATION HLDG(S)LTD
5ET;ATTILAN GROUP LIMITED         
5GJ;AUSGROUP LIMITED              
AZI;AUSNET SERVICES LTD           
BKY;AVI-TECH ELECTRONICS LIMITED  
O2I;AVIC INTL MARITIME HLDGLIMITED
A05;AVJENNINGS LIMITED            
42U;AXCELASIA INC.                
BBW;AZEUS SYSTEMS HOLDINGS LTD.   
K3SD;BAIDU.COM ADR 10              
BTP;BAKER TECHNOLOGY LIMITED      
B26;BAN LEONG TECHNOLOGIES LIMITED
B58;BANYAN TREE HOLDINGS LIMITED  
KJ5;BBR HOLDINGS (S) LTD          
UQ7;BEIJING GAS BLUE SKY HLDGS LTD
BEZ;BENG KUANG MARINE LIMITED     
CGN;BEST WORLD INTERNATIONAL LTD  
BQN;BH GLOBAL CORPORATION LIMITED 
BMGU;BHG RETAIL REIT               
41H;BLACKGOLD NATURAL RESOURCESLTD
A33;BLUMONT GROUP LTD.            
B10;BOARDROOM LIMITED             
B28;BONVESTS HOLDINGS LTD         
AVM;BOUSTEAD PROJECTS LIMITED     
F9D;BOUSTEAD SINGAPORE LIMITED    
BEC;BRC ASIA LIMITED              
5DA;BREADTALK GROUP LIMITED       
B08;BRITISH & MALAYAN TRUSTEES LTD
B69;BROADWAY INDUSTRIAL GROUP LTD 
AWC;BROOK CROMPTON HOLDINGS LTD.  
B61;BUKIT SEMBAWANG ESTATES LTD   
P8Z;BUMITAMA AGRI LTD.            
BTE;BUND CENTER INVESTMENT LTD    
D79;C&G ENV PROTECT HLDGS LTD     
K2LU;CACHE LOGISTICS TRUST         
D2U;CACOLA FURNITURE INTL LIMITED 
J91U;CAMBRIDGE INDUSTRIAL TRUST    
BAC;CAMSING HEALTHCARE LIMITED    
1D5;CAPITAL WORLD LIMITED.        
C61U;CAPITALAND COMMERCIAL TRUST   
C31;CAPITALAND LIMITED            
C38U;CAPITALAND MALL TRUST         
CDNW;CAPITALAND MB ECW170703       
CEHW;CAPITALAND MB ECW171002       
CFKW;CAPITALAND MB ECW171101       
CDOW;CAPITALAND MB EPW170703       
CEIW;CAPITALAND MB EPW171002       
AU8U;CAPITALAND RETAIL CHINA TRUST 
TY6Z;CAPITALDMTR S$350M3.08%B210220
AWV;CAPTII LIMITED                
C04;CASA HOLDINGS LIMITED         
J85;CDL HOSPITALITY TRUSTS        
BXE;CDW HOLDING LIMITED           
Y35;CEFC INTERNATIONAL LIMITED    
AVV;CEI LIMITED                   
C56;CELESTIAL NUTRIFOODS LIMITED  
OU8;CENTURION CORPORATION LIMITED 
T7UW;CENTURION CORPORATION W171027 
