3CNERGY LIMITED;502 
3CNERGY LIMITED W200528;1E0W
800 SUPER HOLDINGS LIMITED;5TG 
8TELECOM INTL HOLDINGS CO LTD;AZG 
A-SMART HOLDINGS LTD.;BQC 
A-SONIC AEROSPACE LIMITED;BTJ 
AA GROUP HOLDINGS LTD.;5GZ 
ABF SPORE BOND INDEX FUND ETF;A35 
ABR HOLDINGS LIMITED;533 
ABTERRA LTD;L5I 
ABUNDANCE INTERNATIONAL LTD;541 
ABUNDANCE INTERNATIONALW210130;1C4W
ACCORDIA GOLF TRUST;ADQU
ACCRELIST LTD.;5RJ 
ACE ACHIEVE INFOCOM LIMITED;A75 
ACESIAN PARTNERS LIMITED;5FW 
ACMA LTD.;AYV 
ACROMEC LIMITED;43F 
ADDVALUE TECHNOLOGIES LTD;A31 
ADVANCE SCT LIMITED;5FH 
ADVANCED HOLDINGS LTD.;BLZ 
ADVANCED SYSTEMS AUTOMATION;5TY 
ADVANCED SYSTEMS AUTOMATION R;1E2R
ADVANCER GLOBAL LIMITED;43Q 
ADVENTUS HOLDINGS LIMITED;5EF 
AEI CORPORATION LTD;AWG 
AEM HOLDINGS LTD;AWX 
AF GLOBAL LIMITED;L38 
AGV GROUP LIMITED;1A4 
AIMS AMP CAP INDUSTRIAL REIT;O5RU
AIMS PROPERTY SECURITIES FUND;BVP 
ALIBABA PICTURES GROUP LIMITED;S91 
ALLIANCE MINERAL ASSETSLIMITED;40F 
ALLIED TECHNOLOGIES LIMITED;A13 
ALPHA ENERGY HOLDINGS LIMITED;5TS 
ALUMINUM CORP OF CHINA ADR 10;K3HD
AMARA HOLDINGS LTD;A34 
AMPLEFIELD LIMITED;AOF 
ANCHOR RESOURCES LIMITED;43E 
ANCHUN INTERNATIONAL HLDGS LTD;BTX 
ANNAIK LIMITED;A52 
ANNICA HOLDINGS LIMITED;5AL 
ANWELL TECHNOLOGIES LIMITED;G5X 
AOXIN Q & M DENTAL GRP LIMITED;1D4 
AP OIL INTERNATIONAL LIMITED;5AU 
ARION ENTERTAINMENT SING LTD;5VU 
ARION ENTERTAINMENTSIN W200505;41RW
ARTIVISION TECHNOLOGIES LTD.;5NK 
ASCENDAS HOSPITALITY TRUST;Q1P 
ASCENDAS INDIA TRUST;CY6U
ASCENDAS REAL ESTATE INV TRUST;A17U
ASCOTT RESIDENCE TRUST;A68U
ASIA ENTERPRISES HOLDING LTD;A55 
ASIA FASHION HOLDINGS LIMITED;BQI 
ASIA-PACIFIC STRATEGIC INV LTD;5RA 
ASIA-PACIFIC STRATEGIC W180716;5VZW
ASIA-PACIFIC STRATEGIC W190506;5I2W
ASIA-PACIFIC STRATEGIC W201119;42QW
ASIAMEDIC LIMITED;505 
ASIAN MICRO HOLDINGS LTD;585 
ASIAN PAY TELEVISION TRUST;S7OU
ASIAPHOS LIMITED;5WV 
ASIAPHOS LIMITED W200323;1C9W
ASIATIC GROUP (HOLDINGS) LTD;5CR 
ASIATRAVEL.COM HOLDINGS LTD;5AM 
ASL MARINE HOLDINGS LTD;A04 
ASPIAL CORPORATION LIMITED;A30 
ASPIAL TREA S$150M5.25%B200828;BEYZ
ASPIAL TREA S$200M5.3%B200401;BRQZ
ASTAKA HOLDINGS LIMITED;42S 
